corpus_id;sentence_position;position;value
3;7;6;wenn
3;7;7;àss
3;7;8;er
3;7;9;d
3;7;10;Technik
3;7;11;vum
3;7;12;Büechdrucka
3;7;13;glehrt
3;7;14;hàt
3;7;15;.
3;8;1;Sallamols
3;8;1;ìsch
3;8;2;nur
3;8;3;z'
3;8;4;Mainz
3;8;5;druckt
3;8;6;worra
3;8;7;.
3;9;1;Sina
3;9;1;Kenntnissa
3;9;2;hàt
3;9;3;'r
3;9;4;àlso
3;9;5;känna
3;9;6;lehra
3;9;7;antwader
3;9;8;direkt
3;9;9;z'
3;9;10;Mainz
3;9;11;oder
3;9;12;dur
3;9;13;ebber
3;9;14;wo-n-
3;9;15;ìhm
3;9;16;dàs
3;9;17;zeigt
3;9;18;hàt
3;9;19;vìllìcht
3;9;20;dr
3;9;21;Heinrich
3;9;22;Eggestein
3;9;23;.
3;10;1;Denn
3;10;1;dr
3;10;2;Heinrich
3;10;3;Eggestein
3;10;4;hàt
3;10;5;meegligerwiis
3;10;6;z'
3;10;7;Mainz
3;10;8;vum
3;10;9;Johann
3;10;10;Gutenberg
3;10;11;s
3;10;12;Büechdrucka
3;10;13;glehrt
3;10;14;.
3;11;1;Dr
3;11;1;Eggestein
3;11;2;hàt
3;11;3;schiint
3;11;4;'s
3;11;5;sina
3;11;6;eigena
3;11;7;Offizin
3;11;8;erscht
3;11;9;ìn
3;11;10;dr
3;11;11;Mìttla
3;11;12;vu
3;11;13;da
3;11;14;1460.
3;11;15;Johra
3;11;16;igrìchta
3;11;17;.
3;12;1;Wenn
3;12;1;dàs
3;12;2;stìmmt
3;12;3;war
3;12;4;àlso
3;12;5;dr
3;12;6;Johannes
3;12;7;Mentelin
3;12;8;noch
3;12;9;vor
3;12;10;em
3;12;11;Heinrich
3;12;12;Eggestein
3;12;13;dr
3;12;14;erscht
3;12;15;Büechdrucker
3;12;16;vu
3;12;17;Stroßburri
3;12;18;gsìì
3;12;19;.
3;13;1;Dr
3;13;1;erscht
3;13;2;Druck
3;13;3;wo
3;13;4;ma
3;13;5;vum
3;13;6;Nàma
3;13;7;Mentelin
3;13;8;erfàhrt
3;13;9;ìsch
3;13;10;„
3;13;11;Augustinus'
3;13;12;Tractatus
3;13;13;de
3;13;14;arte
3;13;15;praedicandi
3;13;16;“
3;13;17;ìm
3;13;18;Johr
3;13;19;1465
3;13;20;.
3;14;1;Àwer
3;14;1;Johannes
3;14;2;Mentelin
3;14;3;hàt
3;14;4;wohrschins
3;14;5;scho
3;14;6;zìmlig
3;14;7;friajher
3;14;8;fànga-n-à
3;14;9;drucka
3;14;10;sogàr
3;14;11;scho
3;14;12;ànna
3;14;13;1458
3;14;14;.
3;15;1;Si
3;15;1;ältschta
3;15;2;bekànnta
3;15;3;Druckwark
3;15;4;ìsch
3;15;5;a
3;15;6;làtiinischa
3;15;7;Bibel
3;15;8;ìn
3;15;9;49
3;15;10;Ziila
3;15;11;(
3;15;12;„
3;15;13;B49
3;15;14;“
3;15;15;)
3;15;16;dr
3;15;17;erscht
3;15;18;Bànd
3;15;19;ìsch
3;15;20;vum
3;15;21;Johr
3;15;22;1460
3;15;23;.
3;16;1;S
3;16;1;Gschaft
3;16;2;vum
3;16;3;Johannes
3;16;4;Mentelin
3;16;5;hàt
3;16;6;schnall
3;16;7;Erfolg
3;16;8;bikumma
3;16;9;ar
3;16;10;ìsch
3;16;11;a
3;16;12;riicher
3;16;13;Mànn
3;16;14;worra
3;16;15;.
3;17;1;Ànna
3;17;1;1466
3;17;2;hàt
3;17;3;'r
3;17;4;sìch
3;17;5;sogàr
3;17;6;a
3;17;7;Wàppa
3;17;8;loo
3;17;9;màcha
3;17;10;.
3;18;1;Noh
3;18;1;ebbena
3;18;2;20
3;18;3;Johr
3;18;4;Büechdruckarèi
3;18;5;ìsch
3;18;6;Mentelin
3;18;7;àm
3;18;8;12.
3;18;9;Dezamber
3;18;10;1478
3;18;11;z'
3;18;12;Stroßburri
3;18;13;gstorwa
3;18;14;.
3;19;1;Ar
3;19;1;ìsch
3;19;2;uffem
3;19;3;Kirchhof
3;19;4;vu
3;19;5;dr
3;19;6;St.-Michaels-Kapelle
3;19;7;(
3;19;8;wo
3;19;9;'s
3;19;10;nìmm
3;19;11;gìtt
3;19;12;)
3;19;13;vergràwa
3;19;14;.
3;20;1;Speeter
3;20;1;ìsch
3;20;2;sina
3;20;3;Laicha
3;20;4;ìn
3;20;5;dr
3;20;6;Stroßburger
3;20;7;Mìnschter
3;20;8;kumma
3;20;9;.
3;21;1;Sina
3;21;1;zwei
3;21;2;Tächter
3;21;3;han
3;21;4;d
3;21;5;Büechdrucker
3;21;6;Martin
3;21;7;Schott
3;21;8;un
3;21;9;Adolf
3;21;10;Rusch
3;21;11;ghirota
3;21;12;.
3;22;1;Dr
3;22;1;Letzterer
3;22;2;àui
3;22;3;„
3;22;4;Drucker
3;22;5;mìt
3;22;6;da
3;22;7;bizàrra
3;22;8;R
3;22;9;“
3;22;10;gnannt
3;22;11;hàt
3;22;12;d
3;22;13;Leitung
3;22;14;vu
3;22;15;dr
3;22;16;Offizin
3;22;17;ìwergnumma
3;22;18;.
3;23;1;Wark
3;23;1;Ar
3;23;2;hàt
3;23;3;meischtens
3;23;4;Biacher
3;23;5;ìwer
3;23;6;Theologie
3;23;7;un
3;23;8;Philosophie
3;23;9;uf
3;23;10;Làtiinisch
3;23;11;druckt
3;23;12;";"
3;23;13;gstudiarta
3;23;14;Litt
3;23;15;hann
3;23;16;d
3;23;17;Quàlität
3;23;18;vu
3;23;19;da
3;23;20;Text
3;23;21;nohglüegt
3;23;22;un
3;23;23;han
3;23;24;sa
3;23;25;verbessert
3;23;26;vor
3;23;27;em
3;23;28;Drucka
3;23;29;.
3;24;1;Uf
3;24;1;Hochditsch
3;24;2;hàt
3;24;3;'r
3;24;4;Literàtur
3;24;5;vum
3;24;6;Mìttelàlter
3;24;7;druckt
3;24;8;wia
3;24;9;zum
3;24;10;Beispiel
3;24;11;„
3;24;12;Parzival
3;24;13;“
3;24;14;vum
3;24;15;Wolfram
3;24;16;von
3;24;17;Eschenbach
3;24;18;un
3;24;19;„
3;24;20;Titurel
3;24;21;“
3;24;22;vum
3;24;23;Albrecht
3;24;24;von
3;24;25;Scharfenberg
3;24;26;.
3;25;1;Ìm
3;25;1;Gsàmta
3;25;2;hàt
3;25;3;'r
3;25;4;ungfahr
3;25;5;40
3;25;6;Biacher
3;25;7;unter
3;25;8;Duck
3;25;9;gmàcht
3;25;10;.
3;26;1;Bsundersch
3;26;1;ìntressànt
3;26;2;ìsch
3;26;3;ànna
3;26;4;1466
3;26;5;si
3;26;6;Druck
3;26;7;vu
3;26;8;dr
3;26;9;„
3;26;10;Mentelin-Bibel
3;26;11;“
3;26;12;ìn
3;26;13;Hochditsch
3;26;14;àlso
3;26;15;ìn'ra
3;26;16;Volkssproch
3;26;17;.
3;27;1;Dia
3;27;1;Bibel
3;27;2;ìsch
3;27;3;drittzeh
3;27;4;Mol
3;27;5;wìdder
3;27;6;druckt
3;27;7;worra
3;27;8;vu
3;27;9;verschìedena
3;27;10;Drucker
3;27;11;ìm
3;27;12;südditscha
3;27;13;Sprochrüüm
3;27;14;bis
3;27;15;d
3;27;16;Veräffentligung
3;27;17;vu
3;27;18;dr
3;27;19;Luther-Bibel
3;27;20;.
4;1;1;Brüchsch
4;1;2;kenn
4;1;3;Angscht
4;1;4;ze
4;1;5;han
4;1;6;for
4;1;7;mich
4;1;8;,
4;1;9;papa
4;1;10;.
4;2;1;Ich
4;2;1;hab
4;2;2;eini
4;2;3;im
4;2;4;Au
4;2;5;,
4;2;6;wie
4;2;7;sowohl
4;2;8;vum
4;2;9;wisseschaftliche
4;2;10;,
4;2;11;als
4;2;12;au
4;2;13;vum
4;2;14;praktische
4;2;15;unn
4;2;16;vum
4;2;17;menschliche
4;2;18;Standpunkt
4;2;19;üs
4;2;20;mine-n-
4;2;21;Anforderunge
