corpus_name;sentence_position;position;value
wikipedia1;18;4;2003
wikipedia1;18;5;,
wikipedia1;18;6;s
wikipedia1;18;7;Museum
wikipedia1;18;8;Jean-Frédéric
wikipedia1;18;9;Oberlin
wikipedia1;18;10;z'
wikipedia1;18;11;Waldersbach
wikipedia1;18;12;ufgmàcht
wikipedia1;18;13;hàt
wikipedia1;18;14;,
wikipedia1;18;15;ìsch
wikipedia1;18;16;dia
wikipedia1;18;17;Sàmmlung
wikipedia1;18;18;därt
wikipedia1;18;19;ànakumma
wikipedia1;18;20;.
wikipedia1;19;1;Noh
wikipedia1;19;2;da
wikipedia1;19;3;Faschter
wikipedia1;19;4;vum
wikipedia1;19;5;100.
wikipedia1;19;6;Geburstàg
wikipedia1;19;7;ànna
wikipedia1;19;8;2007
wikipedia1;19;9;,
wikipedia1;19;10;ìsch
wikipedia1;19;11;s
wikipedia1;19;12;Museum
wikipedia1;19;13;renowiart
wikipedia1;19;14;worra
wikipedia1;19;15;,
wikipedia1;19;16;fer
wikipedia1;19;17;ìn
wikipedia1;19;18;d
wikipedia1;19;19;Sìcherheitsnorma
wikipedia1;19;20;ààpàssa
wikipedia1;19;21;.
wikipedia1;20;1;S
wikipedia1;20;2;Museum
wikipedia1;20;3;hàt
wikipedia1;20;4;àm
wikipedia1;20;5;15.
wikipedia1;20;6;Oktower
wikipedia1;20;7;2008
wikipedia1;20;8;wìder
wikipedia1;20;9;ufgmàcht
wikipedia1;20;10;.
wikipedia2;1;1;Johannes
wikipedia2;1;2;Mentelin
wikipedia2;1;3;Dr
wikipedia2;1;4;Johannes
wikipedia2;1;5;Mentelin
wikipedia2;1;6;mankmol
wikipedia2;1;7;àui
wikipedia2;1;8;Mentlin
wikipedia2;1;9;gnannt
wikipedia2;1;10;(
wikipedia2;1;11;*
wikipedia2;1;12;um
wikipedia2;1;13;1410
wikipedia2;1;14;z'
wikipedia2;1;15;Schlettstàdt
wikipedia2;1;16;
wikipedia2;1;17;†
wikipedia2;1;18;12.
wikipedia2;1;19;Dezamber
wikipedia2;1;20;1478
wikipedia2;1;21;z'
wikipedia2;1;22;Stroßburri
wikipedia2;1;23;)
wikipedia2;1;24;ìsch
wikipedia2;1;25;ìn
wikipedia2;1;26;dr
wikipedia2;1;27;Zitt
wikipedia2;1;28;vu
wikipedia2;1;29;da
wikipedia2;1;30;Ìnkunàwel
wikipedia2;1;31;a
wikipedia2;1;32;ditscher
wikipedia2;1;33;Büechdrucker
wikipedia2;1;34;un
wikipedia2;1;35;Büechhàndler
wikipedia2;1;36;gsìì
wikipedia2;1;37;.
wikipedia2;2;1;Ànna
wikipedia2;2;2;1466
wikipedia2;2;3;hàt
wikipedia2;2;4;'r
wikipedia2;2;5;d
wikipedia2;2;6;erschta
wikipedia2;2;7;druckta
wikipedia2;2;8;Bibel
wikipedia2;2;9;ìn
wikipedia2;2;10;hochditscha
wikipedia2;2;11;Sproch
wikipedia2;2;12;(
wikipedia2;2;13;Mentelin-Bibel
wikipedia2;2;14;)
wikipedia2;2;15;veräffentligt
wikipedia2;2;16;.
wikipedia2;3;1;Lawa
wikipedia2;3;2;Dr
wikipedia2;3;3;Johannes
wikipedia2;3;4;Mentelin
wikipedia2;3;5;ìsch
wikipedia2;3;6;ànna
wikipedia2;3;7;1440
wikipedia2;3;8;uf
wikipedia2;3;9;Stroßburri
wikipedia2;3;10;kumma
wikipedia2;3;11;.
wikipedia2;4;1;Àls
wikipedia2;4;2;Berüef
wikipedia2;4;3;ìsch
wikipedia2;4;4;'r
wikipedia2;4;5;zeerscht
wikipedia2;4;6;„
wikipedia2;4;7;Guldschriiwer
wikipedia2;4;8;“
wikipedia2;4;9;(
wikipedia2;4;10;Kalligraph
wikipedia2;4;11;un
wikipedia2;4;12;Büechschriiwer
wikipedia2;4;13;)
wikipedia2;4;14;gsìì
wikipedia2;4;15;un
wikipedia2;4;16;hàt
wikipedia2;4;17;noochhar
wikipedia2;4;18;àls
wikipedia2;4;19;bìschäfliger
wikipedia2;4;20;Notàr
wikipedia2;4;21;gschàft
wikipedia2;4;22;.
wikipedia2;5;1;Dr
wikipedia2;5;2;Mentelin
wikipedia2;5;3;hàt
wikipedia2;5;4;sina
wikipedia2;5;5;Stroßburger
wikipedia2;5;6;Druckarèi
wikipedia2;5;7;àm
wikipedia2;5;8;And
wikipedia2;5;9;vu
wikipedia2;5;10;da
wikipedia2;5;11;1450
wikipedia2;5;12;Johra
wikipedia2;5;13;grìnda
wikipedia2;5;14;.
wikipedia2;6;1;Ìm
wikipedia2;6;2;Mìttelàlter
wikipedia2;6;3;hàt
wikipedia2;6;4;ma
wikipedia2;6;5;„
wikipedia2;6;6;Offizin
wikipedia2;6;7;“
wikipedia2;6;8;gsajt
wikipedia2;6;9;fer
wikipedia2;6;10;a
wikipedia2;6;11;Büechdruckarèi
wikipedia2;6;12;.
wikipedia2;7;1;Ma
wikipedia2;7;2;weiß
wikipedia2;7;3;nìt
wikipedia2;7;4;gnàui
wikipedia2;7;5;wo
wikipedia2;7;6;un
wikipedia2;7;7;wenn
wikipedia2;7;8;àss
wikipedia2;7;9;er
wikipedia2;7;10;d
wikipedia2;7;11;Technik
wikipedia2;7;12;vum
wikipedia2;7;13;Büechdrucka
wikipedia2;7;14;glehrt
wikipedia2;7;15;hàt
wikipedia2;7;16;.
wikipedia2;8;1;Sallamols
wikipedia2;8;2;ìsch
wikipedia2;8;3;nur
wikipedia2;8;4;z'
wikipedia2;8;5;Mainz
wikipedia2;8;6;druckt
wikipedia2;8;7;worra
wikipedia2;8;8;.
wikipedia2;9;1;Sina
wikipedia2;9;2;Kenntnissa
wikipedia2;9;3;hàt
wikipedia2;9;4;'r
wikipedia2;9;5;àlso
wikipedia2;9;6;känna
wikipedia2;9;7;lehra
wikipedia2;9;8;antwader
wikipedia2;9;9;direkt
wikipedia2;9;10;z'
wikipedia2;9;11;Mainz
wikipedia2;9;12;oder
wikipedia2;9;13;dur
wikipedia2;9;14;ebber
wikipedia2;9;15;wo-n-
wikipedia2;9;16;ìhm
